strategy,budget,instances,optimal,suboptimal,optimal_percent,avg_terminals,avg_roots,avg_workers,avg_dangers,avg_ratio,worst_ratio,avg_speedup
cheapest_capital,5,20,20,0,1.0,3.0,2.9,3.0,0.0,1.0,1.0,225.944
cheapest_capital,5,20,20,0,1.0,4.0,2.9,3.0,1.0,1.0,1.0,172.206
cheapest_capital,10,20,20,0,1.0,6.0,4.7,6.0,0.0,1.0,1.0,185.405
cheapest_capital,10,20,20,0,1.0,7.0,4.7,6.0,1.0,1.0,1.0,216.807
cheapest_capital,15,20,20,0,1.0,9.0,6.0,9.0,0.0,1.0,1.0,247.252
cheapest_capital,15,20,19,1,0.95,10.0,6.0,9.0,1.0,1.002,1.036,360.545
cheapest_capital,20,20,20,0,1.0,12.0,7.7,12.0,0.0,1.0,1.0,314.577
cheapest_capital,20,20,19,1,0.95,13.0,7.7,12.0,1.0,1.001,1.028,384.752
cheapest_capital,25,20,19,1,0.95,16.0,8.85,16.0,0.0,1.001,1.012,561.383
cheapest_capital,25,20,19,1,0.95,17.0,8.85,16.0,1.0,1.001,1.011,604.659
cheapest_capital,30,20,20,0,1.0,16.0,8.7,16.0,0.0,1.0,1.0,447.615
cheapest_capital,30,20,20,0,1.0,17.0,8.7,16.0,1.0,1.0,1.0,546.776
cheapest_capital,35,20,20,0,1.0,19.0,9.2,19.0,0.0,1.0,1.0,591.315
cheapest_capital,35,20,20,0,1.0,20.0,9.2,19.0,1.0,1.0,1.0,603.008
cheapest_capital,40,20,20,0,1.0,22.0,9.95,22.0,0.0,1.0,1.0,570.541
cheapest_capital,40,20,20,0,1.0,23.0,9.95,22.0,1.0,1.0,1.0,577.351
cheapest_capital,45,20,20,0,1.0,25.0,10.5,25.0,0.0,1.0,1.0,953.873
cheapest_capital,45,20,20,0,1.0,26.0,10.5,25.0,1.0,1.0,1.0,1070.041
cheapest_town,5,20,20,0,1.0,3.0,2.9,3.0,0.0,1.0,1.0,210.195
cheapest_town,5,20,20,0,1.0,4.0,2.9,3.0,1.0,1.0,1.0,188.889
cheapest_town,10,20,20,0,1.0,6.0,5.3,6.0,0.0,1.0,1.0,201.483
cheapest_town,10,20,20,0,1.0,7.0,5.3,6.0,1.0,1.0,1.0,176.48
cheapest_town,15,20,20,0,1.0,9.0,7.65,9.0,0.0,1.0,1.0,218.307
cheapest_town,15,20,20,0,1.0,10.0,7.65,9.0,1.0,1.0,1.0,270.865
cheapest_town,20,20,20,0,1.0,12.0,9.5,12.0,0.0,1.0,1.0,283.008
cheapest_town,20,20,19,1,0.95,13.0,9.5,12.0,1.0,1.001,1.016,276.463
cheapest_town,25,20,20,0,1.0,16.0,12.55,16.0,0.0,1.0,1.0,308.498
cheapest_town,25,20,20,0,1.0,17.0,12.55,16.0,1.0,1.0,1.0,291.541
cheapest_town,30,20,20,0,1.0,16.0,12.0,16.0,0.0,1.0,1.0,276.38
cheapest_town,30,20,20,0,1.0,17.0,12.0,16.0,1.0,1.0,1.0,335.772
cheapest_town,35,20,20,0,1.0,19.0,13.5,19.0,0.0,1.0,1.0,428.572
cheapest_town,35,20,20,0,1.0,20.0,13.5,19.0,1.0,1.0,1.0,411.893
cheapest_town,40,20,20,0,1.0,22.0,15.25,22.0,0.0,1.0,1.0,375.828
cheapest_town,40,20,19,1,0.95,23.0,15.25,22.0,1.0,1.0,1.009,354.049
cheapest_town,45,20,20,0,1.0,25.0,16.25,25.0,0.0,1.0,1.0,396.354
cheapest_town,45,20,18,2,0.9,26.0,16.25,25.0,1.0,1.001,1.018,434.128
